Refs,Datasheet,Description,Footprint,Sim.Device,Sim.Pins,Sim.Type,Value,,,,,,,,,,
C10,~,Unpolarized capacitor,,,,,0.004u,,,,,,Price ($),,,,
C11,~,Unpolarized capacitor,,,,,0.01u,,Component,Type,Value,n°,Celsius,Electrónica Arg,ML,Estimate,P.Q
C12,~,Unpolarized capacitor,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,,,,0.1u,,C,not mounting,0.004u,1,,,,,0
C13,~,"Polarized capacitor, small US symbol",,,,,1u,,C,not mounting,0.01u,1,,,,,0
C15,~,"Polarized capacitor, small US symbol",,,,,1u,,C,not mounting,0.1u,3,,,,,0
C2,~,Unpolarized capacitor,,,,,500p,,C,not mounting,1u,5,,,,,0
C3,~,"Polarized capacitor, small US symbol",,,,,1u,,C,not mounting,500p,3,,,,,0
C4,~,"Polarized capacitor, small US symbol",,,,,1u,,C,not mounting,1N914,4,,,,,0
C5,~,Unpolarized capacitor,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,,,,0.1u,,C,not mounting,1N4001,1,,,,,0
C6,~,Unpolarized capacitor,,,,,500p,,C,not mounting,LED,1,,,,,0
C7,~,"Polarized capacitor, small US symbol",,,,,1u,,T,2N5088,NPN,4,,,,,0
C8,~,Unpolarized capacitor,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,,,,0.1u,,R,not mounting,39k,2,,,,,0
C9,~,Unpolarized capacitor,,,,,500p,,R,not mounting,15k,3,,,,,0
D1,http://www.vishay.com/docs/85622/1n914.pdf,"100V 0.3A Small Signal Fast Switching Diode, DO-35",Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,D,1=K 2=A,,1N914,,R,not mounting,100,3,,,,,0
D2,http://www.vishay.com/docs/85622/1n914.pdf,"100V 0.3A Small Signal Fast Switching Diode, DO-35",Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,D,1=K 2=A,,1N914,,R,not mounting,8.2k,2,,,,,0
D3,http://www.vishay.com/docs/85622/1n914.pdf,"100V 0.3A Small Signal Fast Switching Diode, DO-35",Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,D,1=K 2=A,,1N914,,R,3 variables,100k,8,,,,,0
D4,http://www.vishay.com/docs/85622/1n914.pdf,"100V 0.3A Small Signal Fast Switching Diode, DO-35",Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,D,1=K 2=A,,1N914,,R,not mounting,470k,3,,,,,0
D5,http://www.vishay.com/docs/88503/1n4001.pdf,"50V 1A General Purpose Rectifier Diode, DO-41",Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,D,1=K 2=A,,1N4001,,R,not mounting,390k,1,,,,,0
D6,~,Light emitting diode,LED_THT:LED_D3.0mm_Clear,,,,LED,,R,not mounting,10k,1,,,,,0
H1,~,Mounting Hole with connection,MountingHole 2:MountingHole-1.2mm,,,,IN,,R,not mounting,2.2k,1,,,,,0
H2,~,Mounting Hole with connection,MountingHole 2:MountingHole-1.2mm,,,,OUT,,R,not mounting,1Mega,1,,,,,0
H5,~,Mounting Hole with connection,MountingHole 2:MountingHole-1.2mm,,,,SW,,R,not mounting,4.7K,1,,,,,0
J1,~,DC Barrel Jack with a mounting pin,Connector_BarrelJack:BarrelJack_Horizontal,,,,Barrel_Jack_MountingPin,,R,not mounting,1k,1,,,,,0
Q1,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs,"Bipolar transistor symbol for simulation only, substrate tied to the emitter",Package_TO_SOT_THT:TO-92L_Inline_Wide,NPN,1=C 2=B 3=E,GUMMELPOON,NPN,,R,not mounting,8.2k,2,,,,,0
Q2,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs,"Bipolar transistor symbol for simulation only, substrate tied to the emitter",Package_TO_SOT_THT:TO-92L_Inline_Wide,NPN,1=C 2=B 3=E,GUMMELPOON,NPN,,Jack,mounting,,1,,,2700,8299.24,8299.24
Q3,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs,"Bipolar transistor symbol for simulation only, substrate tied to the emitter",Package_TO_SOT_THT:TO-92L_Inline_Wide,NPN,1=C 2=B 3=E,GUMMELPOON,NPN,,Plug hembra,mounting,6.35mm,2,,,,,0
Q4,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs,"Bipolar transistor symbol for simulation only, substrate tied to the emitter",Package_TO_SOT_THT:TO-92L_Inline_Wide,NPN,1=C 2=B 3=E,GUMMELPOON,NPN,,3 PDT,mounting,,1,,,11500,12000,12000
R1,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,39k,,,,,,,,,,
R10,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,15k,,,,,,,,,,
R11,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,100,,,,,,,,,,
